log,time
[c45] PUT,68
[c99] PUT,107
[c3] PUT,114
[c24] PUT,134
[c54] PUT,133
[c14] PUT,144
[c23] PUT,151
[c31] PUT,162
[c96] PUT,170
[c72] PUT,184
[c90] PUT,190
[c57] PUT,192
[c27] PUT,216
[c18] PUT,221
[c97] PUT,231
[c10] PUT,249
[c78] PUT,260
[c84] PUT,261
[c59] PUT,264
[c6] PUT,299
[c13] PUT,302
[c83] PUT,300
[c30] PUT,315
[c22] PUT,344
[c33] PUT,349
[c26] PUT,354
[c44] PUT,378
[c89] PUT,384
[c36] PUT,388
[c53] PUT,387
[c55] PUT,396
[c52] PUT,404
[c9] PUT,405
[c93] PUT,402
[c94] PUT,407
[c29] PUT,413
[c80] PUT,411
[c71] PUT,413
[c66] PUT,421
[c43] PUT,450
[c60] PUT,471
[c11] PUT,473
[c73] PUT,480
[c41] PUT,486
[c58] PUT,491
[c4] PUT,513
[c65] PUT,525
[c81] PUT,542
[c47] PUT,559
[c64] PUT,577
[c61] PUT,592
[c37] PUT,593
[c38] PUT,616
[c28] PUT,640
[c32] PUT,641
[c92] PUT,640
[c46] PUT,660
[c63] PUT,679
[c69] PUT,692
[c50] PUT,711
[c88] PUT,721
[c91] PUT,728
[c86] PUT,739
[c21] PUT,772
[c35] PUT,798
[c62] PUT,798
[c79] PUT,803
[c12] PUT,863
[c15] PUT,864
[c56] PUT,895
[c98] PUT,895
[c85] PUT,922
[c34] PUT,947
[c16] PUT,953
[c95] PUT,959
[c82] PUT,972
[c67] PUT,995
[c2] PUT,1013
[c75] PUT,1024
[c42] PUT,1032
[c20] PUT,1082
[c5] PUT,1096
[c100] PUT,1092
[c70] PUT,1129
[c19] PUT,1134
[c40] PUT,1137
[c1] PUT,1184
[c17] PUT,1203
[c74] PUT,1210
[c77] PUT,1223
[c8] PUT,1243
[c51] PUT,1261
[c25] PUT,1313
[c76] PUT,1312
[c87] PUT,1318
[c7] PUT,1334
[c68] PUT,1421
[c49] PUT,1484
